gene,connectivity,dynamicColors,moduleColors,moduleLabels
Sestd1,11.606962963983273,brown,brown,1
Tead1,11.548366573952878,brown,brown,1
Tmem2,11.512918780491605,brown,brown,1
Urb1,11.392365196950735,brown,brown,1
Olr63,11.389640495878792,brown,brown,1
Klf5,11.245340176291183,brown,brown,1
Mir770,11.23773747124784,brown,brown,1
Mtmr4,11.181603387982225,brown,brown,1
Epm2a,11.112129731983892,brown,brown,1
Agps,11.08096407693529,brown,brown,1
Nfya,11.078457858500471,brown,brown,1
Traf6,11.072063588497677,brown,brown,1
Gje1,11.03749063944521,brown,brown,1
Mical3,10.989568011598838,brown,brown,1
Akap10,10.951909267632999,brown,brown,1
Sema5b,10.929703083518811,brown,brown,1
Pcdha3,10.885117370469725,brown,brown,1
Hephl1,10.814590367782438,brown,brown,1
Pde7b,10.788280925684049,brown,brown,1
Pou2f1,10.720080740393687,brown,brown,1
Pqlc2,10.70719197809403,brown,brown,1
Ctf1,10.700503864719416,brown,brown,1
Msl1,10.680588405452466,brown,brown,1
Nfia,10.558380664023037,brown,brown,1
Camk2d,10.551051525725363,brown,brown,1
Dntt,10.485953755303811,brown,brown,1
Itga4,10.449024439144939,brown,brown,1
Grik2,10.431583680836539,brown,brown,1
Zfp512b,10.418715241077733,brown,brown,1
Adamts18,10.413687005476683,brown,brown,1
Dpep2,10.4134642016193,brown,brown,1
Atp6v1b1,10.401522358218745,brown,brown,1
Sphkap,10.394560257198966,brown,brown,1
Lmnb2,10.313977421497077,brown,brown,1
Mir149,10.312190770396523,brown,brown,1
Tdrd6,10.278683535391169,brown,brown,1
Ppp3ca,10.238003564518369,brown,brown,1
Lkaaear1,10.19414809114588,brown,brown,1
Kdm1b,10.110891408174814,brown,brown,1
Calm1,10.106545695575106,brown,brown,1
Cdk13,10.07771720982257,brown,brown,1
Camta1,10.028044335641884,brown,brown,1
Ndst3,10.004961974283967,brown,brown,1
Dkk3,9.963210582082574,brown,brown,1
Pde1a,9.906394379329363,brown,brown,1
Glrb,9.901658626533857,brown,brown,1
Kpna6,9.899378988023942,brown,brown,1
Zmym3,9.898498551474095,brown,brown,1
Cxadr,9.877539935777081,brown,brown,1
RGD1304810,9.87165903291222,brown,brown,1
Hpgd,9.763225944989722,brown,brown,1
Arl5a,9.750396532921322,brown,brown,1
Sfmbt1,9.74441414549082,brown,brown,1
LOC361646,9.721662025598574,brown,brown,1
Prr19,9.674385861454178,brown,brown,1
Chst7,9.667012800637508,brown,brown,1
Raver1,9.625903084500022,brown,brown,1
Pogz,9.550186645462539,brown,brown,1
Scn3b,9.517084635589113,brown,brown,1
Zbtb44,9.504165398502977,brown,brown,1
Nkiras1,9.501144062360869,brown,brown,1
Hmcn1,9.493205819516124,brown,brown,1
Dync2h1,9.455543196253643,brown,brown,1
Tgm3,9.451393566111214,brown,brown,1
Samd12,9.428479042164918,brown,brown,1
Mas1,9.407678367589687,brown,brown,1
Aspm,9.388332272025309,brown,brown,1
Chrm3,9.285729413839626,brown,brown,1
Hs6st3,9.284744340749484,brown,brown,1
Bche,9.26110288980921,brown,brown,1
Pde5a,9.20911435074541,brown,brown,1
Il1rapl1,9.169638329010528,brown,brown,1
Cd274,9.046781980092046,brown,brown,1
Mphosph9,9.03355770875674,brown,brown,1
Pcyt1b,9.016381869840345,brown,brown,1
Slc4a11,9.01353634547294,brown,brown,1
Sdad1,9.006814613269622,brown,brown,1
Mcc,9.003391359954858,brown,brown,1
Dok2,8.95119743503269,brown,brown,1
Iws1,8.930341213689879,brown,brown,1
Ttll13,8.899525855960032,brown,brown,1
Prdm4,8.841076217863517,brown,brown,1
Pcyt1a,8.830270051218521,brown,brown,1
RGD1560289,8.815874856683868,brown,brown,1
Atp13a3,8.793204765162988,brown,brown,1
Pias1,8.668868996915483,brown,brown,1
Slc26a10,8.638745503793539,brown,brown,1
Kcnv1,8.609362214607877,brown,brown,1
Shroom4,8.599094190427033,brown,brown,1
Jade3,8.586307010964596,brown,brown,1
RT1-M10-1,8.550065855027784,brown,brown,1
Map3k3,8.545696660718429,brown,brown,1
Ddx6,8.502964391172931,brown,brown,1
Kynu,8.496573489776733,brown,brown,1
Dph1,8.490838428344675,brown,brown,1
Ptgir,8.420034161434495,brown,brown,1
Hdac9,8.398268323597957,brown,brown,1
Ube2z,8.371512509312259,brown,brown,1
Cacna2d3,8.366737957080348,brown,brown,1
Trim58,8.291681129504447,brown,brown,1
Lmo7,8.191346290158956,brown,brown,1
Mesdc1,8.179491034897364,brown,brown,1
Magee1,8.171331004665983,brown,brown,1
Dpy19l3,8.16969324770934,brown,brown,1
Zbtb49,8.147501820371293,brown,brown,1
Col4a3,8.132091754580895,brown,brown,1
Dusp2,8.085969987174296,brown,brown,1
Ern1,8.057358212932805,brown,brown,1
Racgap1,8.035023740138469,brown,brown,1
Gja4,8.021174334586401,brown,brown,1
Ctla4,7.960723029443635,brown,brown,1
Ap4e1,7.946288852907153,brown,brown,1
Zbtb37,7.873082959556929,brown,brown,1
Sim2,7.86917699639059,brown,brown,1
Hic2,7.837657590418897,brown,brown,1
Hist1h2an,7.784835343538995,brown,brown,1
Gnb4,7.779942673865882,brown,brown,1
Ptchd1,7.714258292059613,brown,brown,1
Xrn1,7.679036454941676,brown,brown,1
Rnd1,7.6449003357809024,brown,brown,1
Ston2,7.640380110649051,brown,brown,1
Pet100,7.6359756299163575,brown,brown,1
Plxna3,7.6032173146244135,brown,brown,1
Lig3,7.584462398166989,brown,brown,1
Prr22,7.521296115360993,brown,brown,1
Klhl15,7.5172722039625155,brown,brown,1
RGD1565616,7.51016706631162,brown,brown,1
Spry3,7.459769701514679,brown,brown,1
Clec1b,7.444892259441976,brown,brown,1
Rnf126,7.441439288451586,brown,brown,1
Iyd,7.431093145991001,brown,brown,1
Heatr5b,7.416347584937728,brown,brown,1
Mtx1,7.376117011026354,brown,brown,1
Hoxc10,7.303000578113106,brown,brown,1
RGD1308065,7.290500861558499,brown,brown,1
Rapgef6,7.248550324310095,brown,brown,1
Foxj2,7.23635213957398,brown,brown,1
Gli3,7.214603791335273,brown,brown,1
Mir194-1,7.187994908115042,brown,brown,1
Zbtb38,7.178932051246686,brown,brown,1
Ttll9,7.15180432004531,brown,brown,1
Dgkg,7.135237039939649,brown,brown,1
Ror2,7.119953386284169,brown,brown,1
Olr1528,7.10770534364819,brown,brown,1
Tmprss7,7.075816580594309,brown,brown,1
Cdc45,7.0670990116245,brown,brown,1
Lrat,7.055476688499963,brown,brown,1
Krt36,7.054723804029456,brown,brown,1
Mxd1,6.995818373680139,brown,brown,1
Rnf111,6.983801432568065,brown,brown,1
Lrfn1,6.963953151010777,brown,brown,1
Zfp398,6.95480538539391,brown,brown,1
Dlc1,6.919514158624708,brown,brown,1
LOC688390,6.8776200265755945,brown,brown,1
Tarsl2,6.756705945731232,brown,brown,1
Dlgap3,6.729100835710877,brown,brown,1
